model,feature,accuracy,precision,recall,f1,cohen_kappa,mcc,roc_auc,n_samples,n_missing
gpt-4o-mini,Disgust,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Humili8,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Dramatic,0.3,0.375,0.16666666666666666,0.23076923076923078,-0.20689655172413768,-0.408248290463863,0.16666666666666669,10,0
gpt-4o-mini,HolyObjc,0.5,0.5,0.5,0.45054945054945056,0.0,0.0,0.5,10,0
gpt-4o-mini,HolySite,0.7,0.35,0.5,0.4117647058823529,0.0,0.0,,10,0
gpt-4o-mini,Construct,0.8,0.875,0.75,0.7619047619047619,0.5454545454545454,0.6123724356957946,0.75,10,0
gpt-4o-mini,BigCrowd,0.5,0.35714285714285715,0.3125,0.3333333333333333,-0.3157894736842106,-0.3273268353539886,0.3125,10,0
gpt-4o-mini,MockFite,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0
gpt-4o-mini,Costume,0.8,0.8,0.8,0.8,0.6,0.6,0.8,10,0
gpt-4o-mini,Fire,0.6,0.42857142857142855,0.3333333333333333,0.375,-0.17647058823529393,-0.21821789023599236,0.33333333333333337,10,0
gpt-4o-mini,KillAniml,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0
gpt-4o-mini,KillPpl,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Offering,0.7,0.6666666666666667,0.6904761904761905,0.6703296703296704,0.34782608695652173,0.3563483225498992,0.6904761904761905,10,0
gpt-4o-mini,River,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Miniatur,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Ppossession,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Speech,0.5,0.4583333333333333,0.45238095238095233,0.45054945054945056,-0.0869565217391306,-0.0890870806374748,0.4523809523809524,10,0
gpt-4o-mini,RciteTxt,0.9,0.75,0.9444444444444444,0.803921568627451,0.6153846153846154,0.6666666666666666,0.9444444444444444,10,0
gpt-4o-mini,Naming,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Blood,0.8,0.6666666666666666,0.8888888888888888,0.6875,0.41176470588235303,0.5091750772173156,0.8888888888888888,10,0
gpt-4o-mini,Weapons,0.9,0.9444444444444444,0.75,0.803921568627451,0.6153846153846154,0.6666666666666666,0.75,10,0
gpt-4o-mini,Sxual int,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Narrativ,0.7,0.4375,0.3888888888888889,0.4117647058823529,-0.15384615384615374,-0.16666666666666666,0.3888888888888889,10,0
gpt-4o-mini,Bury Offs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0
gpt-4o-mini,Burn Offs,0.8,,,,0.0,,,10,0
gpt-4o-mini,Confess,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Ospectac,0.7,0.3888888888888889,0.4375,0.4117647058823529,-0.15384615384615374,-0.16666666666666666,0.4375,10,0
gpt-4o-mini,Games,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Eating,0.9,0.45,0.5,0.47368421052631576,0.0,0.0,,10,0
gpt-4o-mini,Joyful,0.7,,,,0.0,,,10,0
gpt-4o-mini,SmokeTab,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,AlchTab,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,SexTab,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,TalkTab,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,AvEup,0.0,0.0,0.0,0.0,-0.030927835051546282,-0.08451542547285165,,10,0
gpt-4o-mini,PartiPEM,0.0,0.0,0.0,0.0,-0.030927835051546504,-0.04348282767393363,,10,0
gpt-4o-mini,PartiPDM,0.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,AvDys,0.3,0.049999999999999996,0.16666666666666666,0.07692307692307693,0.0,0.0,,10,0
gpt-4o-mini,SensPag,0.0,0.0,0.0,0.0,-0.04166666666666674,-0.062136976600120006,,10,0
gpt-4o-mini,Smarker,0.0,0.0,0.0,0.0,-0.020408163265306145,-0.04351941398892446,,10,0
gpt-4o-mini,Exegesis,0.5,0.25,0.15625,0.19230769230769232,0.16666666666666663,0.23211917272131485,,10,0
gpt-4o-mini,AcquireE,0.1,0.16666666666666666,0.027777777777777776,0.047619047619047616,0.04255319148936154,0.07856742013183861,,10,0
gpt-4o-mini,SER,0.1,0.2,0.02222222222222222,0.04,0.010989010989011172,0.02817180849095055,,10,0
gpt-4o-mini,FloodMyt,0.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,OriginMyt,0.0,,,,0.0,,,10,0
gpt-4o-mini,WrldTree,0.0,,,,0.0,,,10,0
